SurveyNormalizedReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionDate,StimulusStartDate,TimerStartDate,TimerEndDate,CurrentInterval,StartDate,EndDate
3828da7e-9e5a-ed11-aac1-0afb9334277d,2628da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17831.292957500002,17830.702317916668,17831.027289000001,17831.294485333336,6,2022-11-02T07:05:51-04:00,2022-11-02T07:05:51-04:00
3a28da7e-9e5a-ed11-aac1-0afb9334277d,2628da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17836.205661291668,17835.49406375,17835.989615916667,17836.205690833336,6,2022-11-02T07:05:56-04:00,2022-11-02T07:05:56-04:00
3b28da7e-9e5a-ed11-aac1-0afb9334277d,2628da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17841.018895125002,17840.490462625003,17840.785775916669,17841.018925833334,6,2022-11-02T07:06:01-04:00,2022-11-02T07:06:01-04:00
4228da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17853.477473791667,17852.869060791669,17853.161019750001,17853.477492375001,4,2022-11-02T07:06:14-04:00,2022-11-02T07:06:14-04:00
4328da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,0,17855.744964083333,17853.744014291668,17858.746173125,6,2022-11-02T07:06:19-04:00,2022-11-02T07:06:19-04:00
4428da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17866.466714291666,17865.873552333334,17866.167377791669,17866.466731083336,4,2022-11-02T07:06:27-04:00,2022-11-02T07:06:27-04:00
4528da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17872.262040666668,17871.567526416668,17871.962147083334,17872.262056250001,2,2022-11-02T07:06:32-04:00,2022-11-02T07:06:32-04:00
4628da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,0,17874.59904275,17873.994093041667,17875.769116833333,6,2022-11-02T07:06:36-04:00,2022-11-02T07:06:36-04:00
4728da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17885.285439250001,17884.693748791669,17885.018964083334,17885.285453416669,6,2022-11-02T07:06:45-04:00,2022-11-02T07:06:45-04:00
4828da7e-9e5a-ed11-aac1-0afb9334277d,2928da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,17891.297260041669,17890.370291083334,17891.047248750001,17891.297273458335,2,2022-11-02T07:06:51-04:00,2022-11-02T07:06:51-04:00
