SurveyTaskKey,ParticipantIdentifier,SurveyKey,SurveyName,Status,DueDate,InsertedDate,CreatedBy,ModifiedDate
d19f1aae-db4e-ed11-aac0-0afb9334277d,bc201731-087e-4342-92e9-fbc880f308f9,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T11:55:00Z,2022-10-18T11:55:01Z,RKStudio Survey Scheduler,2022-10-25T11:55:02Z
f91445e8-374f-ed11-aac0-0afb9334277d,dc75ed11-fb0f-4f28-a74e-9d08d2f6c26a,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T22:55:06Z,2022-10-18T22:55:07Z,RKStudio Survey Scheduler,2022-10-25T22:55:04Z
9be65f41-404f-ed11-aac0-0afb9334277d,2f32cd19-e9c5-4aad-8999-6f4646169ab6,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:01Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
ade65f41-404f-ed11-aac0-0afb9334277d,2db37fd7-2694-4b46-80f9-9f4b58d57bfa,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:01Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
bfe65f41-404f-ed11-aac0-0afb9334277d,14b58072-ae3b-491e-a8ca-207f0d27ccf6,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:01Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
f7e65f41-404f-ed11-aac0-0afb9334277d,27329533-d0a4-4605-9da5-0eb857154cae,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:01Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
31e75f41-404f-ed11-aac0-0afb9334277d,32c4b5db-3371-4b5d-b035-3c790cb76a37,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:01Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
43e75f41-404f-ed11-aac0-0afb9334277d,78caed8d-d47f-4e39-92be-eaf545d56772,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
9ce75f41-404f-ed11-aac0-0afb9334277d,a2a8e4c2-c292-4062-8fd2-b6b5a8092cac,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
d1f25547-404f-ed11-aac0-0afb9334277d,d11241a0-932e-4931-83ee-f3d28f66875f,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
daf25547-404f-ed11-aac0-0afb9334277d,d92cdaf1-cc3e-4408-bcdf-7be602cc5c3b,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
eef25547-404f-ed11-aac0-0afb9334277d,4dce333c-4a55-4531-860a-3ec0babdd176,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
20f35547-404f-ed11-aac0-0afb9334277d,6aef7713-ae07-41bf-a330-b2a94708f8eb,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:00Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
3df35547-404f-ed11-aac0-0afb9334277d,7272fab8-c4e7-45bb-ba42-e9f6a06801c0,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:01Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
6ff35547-404f-ed11-aac0-0afb9334277d,92863208-10a4-443b-a225-18630552f5cc,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:01Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
9df35547-404f-ed11-aac0-0afb9334277d,5bbaec14-546b-4fdb-985a-4065b4742339,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:01Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
f8f35547-404f-ed11-aac0-0afb9334277d,3b692f4d-2f21-4869-b87f-c134c918e18f,98581f88-7dc0-eb11-aaab-0afb9334277d,survey_weekly-goal_set,Closed,2022-10-18T23:55:01Z,2022-10-18T23:55:02Z,RKStudio Survey Scheduler,2022-10-25T23:55:02Z
